,url_torneo,url,torneo,nro_jornada,fecha_,equipo_local,equipo_visitante,resultado,goles_equipo_local,goles_equipo_visitante
0,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Sarmiento/Arsenal-Sarandi-Fc/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 00:01:00,Sarmiento,Arsenal de Sarandí,1-0,1,0
1,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Godoy-Cruz-Antonio-Tomba/Ca-Huracan/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 02:15:00,Godoy Cruz,CA Huracán,1-0,1,0
2,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Gimnasia-Plata/Ca-Velez-Sarsfield/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 19:00:00,Gimnasia La Plata,Vélez Sarsfield,2-0,2,0
3,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Rosario-Central/Defensa-Justicia/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 21:00:00,Rosario Central,Defensa y Justicia,0-0,0,0
4,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Racing-Club-Avellaneda/Talleres-Cordoba/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 23:00:00,Racing Club,Talleres Córdoba,1-1,1,1
5,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Atletico-Tucuman/Atletico-Rafaela/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 00:01:00,Atl. Tucumán,Atletico Rafaela,1-0,1,0
6,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/San-Lorenzo/San-Martin-San-Juan/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 01:00:00,San Lorenzo,San Martín San Juan,2-2,2,2
7,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Tigre/Estudiantes-Plata/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 19:00:00,Tigre,Estudiantes La Plata,0-3,0,3
8,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Quilmes/Newells-Old-Boys/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 19:10:00,Quilmes,Newell's Old Boys,0-1,0,1
9,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Belgrano/Independiente/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 21:00:00,Belgrano,Independiente,0-1,0,1
