,Unnamed: 0,url_torneo,url,torneo,nro_jornada,fecha_,equipo_local,equipo_visitante,resultado,goles_equipo_local,goles_equipo_visitante,goleadores_local,goleadores_visitante,tarj_amarilla_local,tarj_roja_local,tarj_amarilla_visitante,tarj_roja_visitante
0,0,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Sarmiento/Arsenal-Sarandi-Fc/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 00:01:00,Sarmiento,Arsenal de Sarandí,1-0,1,0,['L. Díaz'],[],"['F. Dutari', 'M. Fornari', 'N. Bianchi Arce']",[],"['C. Corvalán', 'Franco Bellocq', 'C. Corvalán']",['C. Corvalán']
1,1,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Godoy-Cruz-Antonio-Tomba/Ca-Huracan/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 02:15:00,Godoy Cruz,CA Huracán,1-0,1,0,['M. Sigales'],[],"['L. Abecasis', 'Á. González', 'J. Andrada']",[],"['Daniel Montenegro', 'L. Compagnucci', 'C. Araujo', 'F. Mancinelli']",[]
2,2,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Gimnasia-Plata/Ca-Velez-Sarsfield/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 19:00:00,Gimnasia La Plata,Vélez Sarsfield,2-0,2,0,"['F. Niell', 'N. Ibáñez']",[],"['R. Carrera', 'L. Perdomo']",['F. Oreja'],"['L. Desábato', 'M. Pavone', 'N. Tripichio', 'L. Desábato']",['L. Desábato']
3,3,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Rosario-Central/Defensa-Justicia/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 21:00:00,Rosario Central,Defensa y Justicia,0-0,0,0,[],[],['Damián Musto'],[],"['A. Barboza', 'A. Bouzat', 'F. Buschiazzo']",[]
4,4,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Racing-Club-Avellaneda/Talleres-Cordoba/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-27 23:00:00,Racing Club,Talleres Córdoba,1-1,1,1,['Marcos Acuña'],['A. Orión'],"['S. Rosales', 'L. Grimi']",[],"['L. Kruspzky', 'F. Godoy']",[]
5,5,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Atletico-Tucuman/Atletico-Rafaela/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 00:01:00,Atl. Tucumán,Atletico Rafaela,1-0,1,0,['G. Acosta'],[],"['G. Acosta', 'L. Villalba']",['F. Zampedri'],['M. Albertengo'],[]
6,6,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/San-Lorenzo/San-Martin-San-Juan/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 01:00:00,San Lorenzo,San Martín San Juan,2-2,2,2,"['F. Belluschi', 'N. Blandi']","['E. Montagna', 'E. Montagna']",['F. Mussis'],[],"['M. Gelabert', 'M. Casierra', 'E. Montagna', 'D. Navarro']",[]
7,7,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Tigre/Estudiantes-Plata/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 19:00:00,Tigre,Estudiantes La Plata,0-3,0,3,[],"['I. Bailone', 'L. Rodríguez', 'I. Damonte']","['L. Menossi', 'M. Galmarini']",[],['J. Schunke'],[]
8,8,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Quilmes/Newells-Old-Boys/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 19:10:00,Quilmes,Newell's Old Boys,0-1,0,1,[],['I. Scocco'],"['D. Colotto', 'M. González', 'M. Orihuela', 'H. Da Campo', 'F. Coria']",[],"['I. Scocco', 'N. Moiraghi', 'D. Mateo', 'D. Mateo', 'F. Quignon']",['D. Mateo']
9,9,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Belgrano/Independiente/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 21:00:00,Belgrano,Independiente,0-1,0,1,[],['E. Rigoni'],"['R. Saravia', 'Cristian Romero', 'I. Etevenaux']",[],"['N. Tagliafico', 'G. Toledo']",[]
10,10,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Union-Santa-Fe/Olimpo/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 21:15:00,Unión Santa Fe,Olimpo,1-0,1,0,['F. Anselmo'],[],"['N. Zárate', 'B. Pitton', 'L. Gamba', 'E. Brítez']",[],"['J. Blanco', 'S. Llambay', 'V. López', 'J. Fernández']",[]
11,11,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-River-Plate/Ca-Banfield/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-28 23:00:00,River Plate,Banfield,4-1,4,1,"['S. Driussi', 'Lucas Alario', ""A. D'alessandro"", 'Pity Martínez']",['S. Silva'],[],[],"['B. Sarmiento', 'M. Sperduti', 'G. Prósperi']",[]
12,12,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Lanus/Ca-Boca-Juniors/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-29 01:00:00,Lanús,Boca Juniors,1-0,1,0,['L. Acosta'],[],['R. Martínez'],[],['R. Bentancur'],[]
13,13,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Aldosivi/Colon-Santa-Fe/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-30 00:01:00,Aldosivi,Colón,0-2,0,2,[],"['I. Blanco', 'D. Lagos']","['F. Canever', 'C. Llama']",[],['G. Ortíz'],[]
14,14,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Temperley/Patronato/2017,Liga Profesional Argentina 2017,Jornada 1,2016-08-30 02:15:00,Temperley,Patronato,1-0,1,0,['A. Arregui'],[],"['L. Parodi', 'A. Arregui', 'M. Ibáñez', 'A. Cólzera']",[],"['Pitu', 'E. Guzmán', 'A. Masuero']",[]
15,15,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Patronato/Gimnasia-Plata/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-10 00:01:00,Patronato,Gimnasia La Plata,0-1,0,1,[],['F. Niell'],[],[],['D. Imperiale'],[]
16,16,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Huracan/Quilmes/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-10 02:15:00,CA Huracán,Quilmes,1-1,1,1,['L. Sosa'],['F. Andrada'],"['M. Bogado', 'E. Garré']",[],"['M. Orihuela', 'M. González']",[]
17,17,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Olimpo/Ca-Lanus/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-10 19:00:00,Olimpo,Lanús,0-0,0,0,[],[],"['M. Pérez', 'L. Villarruel']",[],['I. Marcone'],[]
18,18,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Banfield/Colon-Santa-Fe/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-10 19:45:00,Banfield,Colón,0-0,0,0,[],[],"['L. Gomez', 'E. Remedi']",[],"['I. Torres', 'A. Bastía', 'L. Ceballos']",[]
19,19,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/San-Martin-San-Juan/Racing-Club-Avellaneda/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-10 21:00:00,San Martín San Juan,Racing Club,0-2,0,2,[],"['Marcos Acuña', 'Gastón Díaz']","['F. Lazzaroni', 'J. Luna']",[],['S. Vittor'],[]
20,20,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Union-Santa-Fe/Aldosivi/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-10 22:00:00,Unión Santa Fe,Aldosivi,0-0,0,0,[],[],['R. Garcia'],['E. Brítez'],"['A. Alegre', 'P. Lugüercio', 'F. Canever']",[]
21,21,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Defensa-Justicia/San-Lorenzo/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-10 23:00:00,Defensa y Justicia,San Lorenzo,0-2,0,2,[],"['N. Blandi', 'S. Blanco']","['G. Bravo', 'L. Jerez Silva', 'T. Cardona', 'R. Delgado']",[],"['F. Belluschi', 'F. Mussis', 'B. Merlini']",[]
22,22,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Independiente/Godoy-Cruz-Antonio-Tomba/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-11 01:00:00,Independiente,Godoy Cruz,2-0,2,0,"['D. Vera', 'E. Barco']",[],"['D. Rodríguez', 'C. Rodríguez']",[],"['P. Alvarado', 'Facundo Silva', 'M. Benítez']",[]
23,23,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Newells-Old-Boys/Ca-Tigre/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-11 19:00:00,Newell's Old Boys,Tigre,1-0,1,0,['M. Formica'],[],"['F. Quignon', 'S. Prediger']",[],"['K. Itabel', 'D. Sosa', 'M. Echeverría']",[]
24,24,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Velez-Sarsfield/Ca-Rosario-Central/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-11 21:00:00,Vélez Sarsfield,Rosario Central,2-0,2,0,"['M. Pavone', 'M. Pavone']",[],"['B. Cáceres', 'C. Nasuti', 'N. Tripichio']",[],"['V. Salazar', 'G. Herrera', 'E. Burgos', 'Damián Musto']",['V. Salazar']
25,25,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Estudiantes-Plata/Sarmiento/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-11 21:15:00,Estudiantes La Plata,Sarmiento,1-0,1,0,['I. Bailone'],[],"['Santiago Ascacíbar', 'L. González Pirez']",[],"['K. Mercado', 'L. Díaz']",[]
26,26,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Boca-Juniors/Belgrano/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-11 23:00:00,Boca Juniors,Belgrano,3-0,3,0,"['C. Tévez', 'C. Pavón', 'Frank Fabra']",[],['C. Tévez'],['C. Tévez'],"['R. Saravia', 'F. Álvarez', 'C. Lema', 'F. Álvarez', 'G. Álvarez Suárez', 'M. Bolatti']",['F. Álvarez']
27,27,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Talleres-Cordoba/Ca-River-Plate/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-12 01:00:00,Talleres Córdoba,River Plate,0-1,0,1,[],['A. Mina'],"['P. Guiñazú', 'P. Guiñazú']","['P. Guiñazú', 'F. Godoy']","['C. Mayada', ""A. D'alessandro""]",[]
28,28,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Arsenal-Sarandi-Fc/Atletico-Tucuman/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-13 00:01:00,Arsenal de Sarandí,Atl. Tucumán,1-3,1,3,['J. Bottinelli'],"['C. Menéndez', 'C. Menéndez', 'G. Acosta']","['Franco Bellocq', 'L. Vella']",[],['N. Leyes'],[]
29,29,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Atletico-Rafaela/Temperley/2017,Liga Profesional Argentina 2017,Jornada 2,2016-09-13 02:15:00,Atletico Rafaela,Temperley,1-0,1,0,['F. Luna'],[],"['G. Gudiño', 'M. Abero']",[],"['M. Figueroa', 'G. Bojanich', 'L. Vázquez', 'L. Mancinelli']",[]
30,30,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Colon-Santa-Fe/Talleres-Cordoba/2017,Liga Profesional Argentina 2017,Jornada 3,2016-09-17 02:15:00,Colón,Talleres Córdoba,1-0,1,0,['I. Blanco'],[],"['I. Blanco', 'L. Ceballos', 'A. Bastía']",[],"['C. Quintana', 'C. Quintana', 'J. Gandolfi']",['C. Quintana']
31,31,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Lanus/Union-Santa-Fe/2017,Liga Profesional Argentina 2017,Jornada 3,2016-09-17 19:00:00,Lanús,Unión Santa Fe,0-1,0,1,[],['L. Gamba'],"['M. Herrera', 'José Gómez', 'M. Velázquez', 'N. Pasquini']",[],"['B. Pitton', 'M. Pitton']",[]
32,32,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/San-Lorenzo/Ca-Velez-Sarsfield/2017,Liga Profesional Argentina 2017,Jornada 3,2016-09-17 21:00:00,San Lorenzo,Vélez Sarsfield,2-1,2,1,"['S. Blanco', 'N. Blandi']",['N. Tripichio'],[],[],"['F. Grillo', 'G. Díaz', 'N. Tripichio', 'M. Pavone']",[]
33,33,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Ca-Rosario-Central/Patronato/2017,Liga Profesional Argentina 2017,Jornada 3,2016-09-17 21:15:00,Rosario Central,Patronato,2-1,2,1,"['W. Montoya', 'W. Camacho']",['N. Bertocchi'],"['P. Ferrari', 'T. Gutiérrez', 'W. Montoya', 'W. Montoya', 'P. Ferrari']","['W. Montoya', 'P. Ferrari']","['A. Masuero', 'F. Telechea', 'E. Guzmán', 'F. Telechea']","['G. Espinoza', 'F. Telechea']"
34,34,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Aldosivi/Ca-Banfield/2017,Liga Profesional Argentina 2017,Jornada 3,2016-09-17 22:00:00,Aldosivi,Banfield,1-3,1,3,['S. Penco'],"['N. Bertolo', 'S. Silva', 'W. Erviti']","['A. Alegre', 'R. Brum', 'A. Alegre']","['A. Alegre', 'C. Llama']","['E. Cecchini', 'E. Remedi', 'A. Soto', 'C. Matheu', 'S. Silva']",[]
35,35,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Quilmes/Independiente/2017,Liga Profesional Argentina 2017,Jornada 3,2016-09-17 23:00:00,Quilmes,Independiente,1-1,1,1,['C. García'],['E. Rigoni'],['M. González'],[],['J. Sánchez Miño'],[]
36,36,https://www.resultados-futbol.com/primera_division_argentina2017/grupo1/calendario,https://www.resultados-futbol.com/partido/Sarmiento/Newells-Old-Boys/2017,Liga Profesional Argentina 2017,Jornada 3,2016-09-18 01:15:00,Sarmiento,Newell's Old Boys,1-1,1,1,['S. Domínguez'],['I. Scocco'],['K. Mercado'],[],"['S. Domínguez', 'N. Moiraghi', 'G. Voboril', 'S. Prediger']",[]
