,goleador_local,goleador_visitante,equipo_local,equipo_visitante
0,['L. Díaz'],[],Sarmiento,Arsenal de Sarandí
1,[],['C. Corvalán'],Sarmiento,Arsenal de Sarandí
2,['M. Sigales'],[],Sarmiento,Arsenal de Sarandí
3,['F. Oreja'],[],Sarmiento,Arsenal de Sarandí
4,['F. Niell'],[],Sarmiento,Arsenal de Sarandí
5,[],['L. Desábato'],Sarmiento,Arsenal de Sarandí
6,['N. Ibáñez'],[],Sarmiento,Arsenal de Sarandí
7,['A. Orión'],[],Sarmiento,Arsenal de Sarandí
8,['Marcos Acuña'],[],Sarmiento,Arsenal de Sarandí
9,['G. Acosta'],[],Sarmiento,Arsenal de Sarandí
10,['F. Zampedri'],[],Sarmiento,Arsenal de Sarandí
11,['F. Belluschi'],[],Sarmiento,Arsenal de Sarandí
12,[],['E. Montagna'],Sarmiento,Arsenal de Sarandí
14,['N. Blandi'],[],Sarmiento,Arsenal de Sarandí
15,[],['I. Bailone'],Sarmiento,Arsenal de Sarandí
16,[],['L. Rodríguez'],Sarmiento,Arsenal de Sarandí
17,[],['I. Damonte'],Sarmiento,Arsenal de Sarandí
18,[],['D. Mateo'],Sarmiento,Arsenal de Sarandí
19,[],['I. Scocco'],Sarmiento,Arsenal de Sarandí
20,[],['E. Rigoni'],Sarmiento,Arsenal de Sarandí
21,['F. Anselmo'],[],Sarmiento,Arsenal de Sarandí
22,['S. Driussi'],[],Sarmiento,Arsenal de Sarandí
23,[],['S. Silva'],Sarmiento,Arsenal de Sarandí
24,['Lucas Alario'],[],Sarmiento,Arsenal de Sarandí
25,"[""A. D'alessandro""]",[],Sarmiento,Arsenal de Sarandí
26,['Pity Martínez'],[],Sarmiento,Arsenal de Sarandí
27,['B. Montenegro'],[],Sarmiento,Arsenal de Sarandí
28,['L. Acosta'],[],Sarmiento,Arsenal de Sarandí
29,[],['I. Blanco'],Sarmiento,Arsenal de Sarandí
30,[],['D. Lagos'],Sarmiento,Arsenal de Sarandí
31,['A. Arregui'],[],Sarmiento,Arsenal de Sarandí
32,[],['F. Niell'],Sarmiento,Arsenal de Sarandí
33,[],['F. Andrada'],Sarmiento,Arsenal de Sarandí
34,['L. Sosa'],[],Sarmiento,Arsenal de Sarandí
