,nombre_torneo,equipo,PJ,GF,GC,puntos
0,Liga Profesional Argentina 2017,Boca Juniors,30,62,25,63
1,Liga Profesional Argentina 2017,River Plate,30,51,28,56
2,Liga Profesional Argentina 2017,Estudiantes,30,46,26,56
3,Liga Profesional Argentina 2017,Racing Club,30,51,40,55
4,Liga Profesional Argentina 2017,Banfield,30,42,35,54
5,Liga Profesional Argentina 2017,Independient,30,39,23,53
6,Liga Profesional Argentina 2017,San Lorenzo,30,46,35,53
7,Liga Profesional Argentina 2017,Lanús,30,36,25,50
8,Liga Profesional Argentina 2017,Newell's,30,40,30,49
9,Liga Profesional Argentina 2017,Defensa,30,31,23,49
10,Liga Profesional Argentina 2017,Colón,30,32,25,49
11,Liga Profesional Argentina 2017,Rosario,30,40,31,44
12,Liga Profesional Argentina 2017,Gimnasia,30,26,24,43
13,Liga Profesional Argentina 2017,Godoy Cruz,30,34,34,43
14,Liga Profesional Argentina 2017,Talleres,30,35,30,42
15,Liga Profesional Argentina 2017,Olimpo,30,37,32,38
16,Liga Profesional Argentina 2017,Atletico,30,31,30,37
17,Liga Profesional Argentina 2017,Temperley,30,30,38,37
18,Liga Profesional Argentina 2017,Vélez,30,31,40,37
19,Liga Profesional Argentina 2017,Patronato,30,30,40,34
20,Liga Profesional Argentina 2017,Atl.Tucumán,30,34,40,33
21,Liga Profesional Argentina 2017,Martín Juan,30,27,40,33
22,Liga Profesional Argentina 2017,Unión Santa,30,25,39,32
23,Liga Profesional Argentina 2017,Tigre,30,33,43,31
24,Liga Profesional Argentina 2017,CA Huracán,30,23,30,29
25,Liga Profesional Argentina 2017,Sarmiento,30,31,51,28
26,Liga Profesional Argentina 2017,Arsenal,30,27,50,27
27,Liga Profesional Argentina 2017,Belgrano,30,21,34,26
28,Liga Profesional Argentina 2017,Quilmes,30,18,43,25
29,Liga Profesional Argentina 2017,Aldosivi,30,15,40,25
30,Liga Profesional Argentina 2018,Boca Juniors,27,50,22,58
31,Liga Profesional Argentina 2018,Godoy Cruz,27,45,24,56
32,Liga Profesional Argentina 2018,San Lorenzo,27,31,20,50
33,Liga Profesional Argentina 2018,CA Huracán,27,35,24,48
34,Liga Profesional Argentina 2018,Talleres,27,33,20,46
35,Liga Profesional Argentina 2018,Independient,27,29,19,46
36,Liga Profesional Argentina 2018,Racing Club,27,46,32,45
37,Liga Profesional Argentina 2018,River Plate,27,39,26,45
38,Liga Profesional Argentina 2018,Defensa,27,41,34,44
39,Liga Profesional Argentina 2018,Unión Santa,27,33,23,43
40,Liga Profesional Argentina 2018,Colón,27,32,22,41
41,Liga Profesional Argentina 2018,Argentinos,27,36,30,41
42,Liga Profesional Argentina 2018,Belgrano,27,29,28,40
43,Liga Profesional Argentina 2018,Vélez,27,31,32,38
44,Liga Profesional Argentina 2018,Atl.Tucumán,27,29,26,36
45,Liga Profesional Argentina 2018,Estudiantes,27,25,26,36
46,Liga Profesional Argentina 2018,Banfield,27,27,24,35
47,Liga Profesional Argentina 2018,Martín Juan,27,30,36,33
48,Liga Profesional Argentina 2018,Patronato,27,26,32,33
49,Liga Profesional Argentina 2018,Rosario,27,30,41,32
50,Liga Profesional Argentina 2018,Lanús,27,20,37,29
51,Liga Profesional Argentina 2018,Newell's,27,23,28,27
52,Liga Profesional Argentina 2018,Gimnasia,27,28,43,27
53,Liga Profesional Argentina 2018,Tigre,27,26,33,24
54,Liga Profesional Argentina 2018,Temperley,27,22,46,23
55,Liga Profesional Argentina 2018,Chacarita,27,23,40,18
56,Liga Profesional Argentina 2018,Arsenal,27,19,36,17
57,Liga Profesional Argentina 2018,Olimpo,27,16,50,15
58,Liga Profesional Argentina 2019,Racing Club,25,43,16,57
59,Liga Profesional Argentina 2019,Defensa,25,33,18,53
60,Liga Profesional Argentina 2019,Boca Juniors,25,42,18,51
61,Liga Profesional Argentina 2019,River Plate,25,42,21,45
62,Liga Profesional Argentina 2019,Atl.Tucumán,25,36,29,42
63,Liga Profesional Argentina 2019,Vélez,25,34,25,40
64,Liga Profesional Argentina 2019,Independient,25,35,28,38
65,Liga Profesional Argentina 2019,Unión Santa,25,29,24,36
66,Liga Profesional Argentina 2019,Tigre,25,39,42,36
67,Liga Profesional Argentina 2019,CA Huracán,25,28,28,35
68,Liga Profesional Argentina 2019,Lanús,25,27,32,34
69,Liga Profesional Argentina 2019,Talleres,25,25,24,33
70,Liga Profesional Argentina 2019,Aldosivi,25,21,24,33
71,Liga Profesional Argentina 2019,Godoy Cruz,25,23,30,32
72,Liga Profesional Argentina 2019,Newell's,25,26,23,29
73,Liga Profesional Argentina 2019,Banfield,25,27,31,29
74,Liga Profesional Argentina 2019,Estudiantes,25,21,25,29
