,nombre_torneo,nro_jornada,fecha_partido,equipo_local,resultado,equipo_visitante,equipo_local_resultado,equipo_visitante_resultado
0,Liga Profesional Argentina 2017,Jornada 1,30 Ago 16,Aldosivi,0 - 2,Colón,0,2
1,Liga Profesional Argentina 2017,Jornada 1,28 Ago 16,River Plate,4 - 1,Banfield,4,1
2,Liga Profesional Argentina 2017,Jornada 1,27 Ago 16,Racing Club,1 - 1,Talleres Córdoba,1,1
3,Liga Profesional Argentina 2017,Jornada 1,28 Ago 16,San Lorenzo,2 - 2,San Martín San Juan,2,2
4,Liga Profesional Argentina 2017,Jornada 1,27 Ago 16,Rosario Central,0 - 0,Defensa y Justicia,0,0
5,Liga Profesional Argentina 2017,Jornada 1,27 Ago 16,Gimnasia La Plata,2 - 0,Vélez Sarsfield,2,0
6,Liga Profesional Argentina 2017,Jornada 1,30 Ago 16,Temperley,1 - 0,Patronato,1,0
7,Liga Profesional Argentina 2017,Jornada 1,28 Ago 16,Atl.Tucumán,1 - 0,Atletico Rafaela,1,0
8,Liga Profesional Argentina 2017,Jornada 1,27 Ago 16,Sarmiento,1 - 0,Arsenal de Sarandí,1,0
9,Liga Profesional Argentina 2017,Jornada 1,28 Ago 16,Tigre,0 - 3,Estudiantes La Plata,0,3
10,Liga Profesional Argentina 2017,Jornada 1,28 Ago 16,Quilmes,0 - 1,Newell's Old Boys,0,1
11,Liga Profesional Argentina 2017,Jornada 1,27 Ago 16,Godoy Cruz,1 - 0,CA Huracán,1,0
12,Liga Profesional Argentina 2017,Jornada 1,28 Ago 16,Belgrano,0 - 1,Independiente,0,1
13,Liga Profesional Argentina 2017,Jornada 1,29 Ago 16,Lanús,1 - 0,Boca Juniors,1,0
14,Liga Profesional Argentina 2017,Jornada 1,28 Ago 16,Unión Santa Fe,1 - 0,Olimpo,1,0
15,Liga Profesional Argentina 2017,Jornada 2,10 Sep 16,Unión Santa Fe,0 - 0,Aldosivi,0,0
16,Liga Profesional Argentina 2017,Jornada 2,10 Sep 16,Olimpo,0 - 0,Lanús,0,0
17,Liga Profesional Argentina 2017,Jornada 2,11 Sep 16,Boca Juniors,3 - 0,Belgrano,3,0
18,Liga Profesional Argentina 2017,Jornada 2,11 Sep 16,Independiente,2 - 0,Godoy Cruz,2,0
19,Liga Profesional Argentina 2017,Jornada 2,10 Sep 16,CA Huracán,1 - 1,Quilmes,1,1
20,Liga Profesional Argentina 2017,Jornada 2,11 Sep 16,Newell's Old Boys,1 - 0,Tigre,1,0
21,Liga Profesional Argentina 2017,Jornada 2,11 Sep 16,Estudiantes La Plata,1 - 0,Sarmiento,1,0
22,Liga Profesional Argentina 2017,Jornada 2,13 Sep 16,Arsenal de Sarandí,1 - 3,Atl.Tucumán,1,3
23,Liga Profesional Argentina 2017,Jornada 2,13 Sep 16,Atletico Rafaela,1 - 0,Temperley,1,0
24,Liga Profesional Argentina 2017,Jornada 2,10 Sep 16,Patronato,0 - 1,Gimnasia La Plata,0,1
25,Liga Profesional Argentina 2017,Jornada 2,11 Sep 16,Vélez Sarsfield,2 - 0,Rosario Central,2,0
26,Liga Profesional Argentina 2017,Jornada 2,10 Sep 16,Defensa y Justicia,0 - 2,San Lorenzo,0,2
27,Liga Profesional Argentina 2017,Jornada 2,10 Sep 16,San Martín San Juan,0 - 2,Racing Club,0,2
28,Liga Profesional Argentina 2017,Jornada 2,12 Sep 16,Talleres Córdoba,0 - 1,River Plate,0,1
29,Liga Profesional Argentina 2017,Jornada 2,10 Sep 16,Banfield,0 - 0,Colón,0,0
30,Liga Profesional Argentina 2017,Jornada 3,17 Sep 16,Aldosivi,1 - 3,Banfield,1,3
31,Liga Profesional Argentina 2017,Jornada 3,17 Sep 16,Colón,1 - 0,Talleres Córdoba,1,0
32,Liga Profesional Argentina 2017,Jornada 3,18 Sep 16,River Plate,1 - 1,San Martín San Juan,1,1
33,Liga Profesional Argentina 2017,Jornada 3,19 Sep 16,Racing Club,1 - 1,Defensa y Justicia,1,1
34,Liga Profesional Argentina 2017,Jornada 3,17 Sep 16,San Lorenzo,2 - 1,Vélez Sarsfield,2,1
35,Liga Profesional Argentina 2017,Jornada 3,17 Sep 16,Rosario Central,2 - 1,Patronato,2,1
36,Liga Profesional Argentina 2017,Jornada 3,20 Sep 16,Gimnasia La Plata,0 - 1,Atletico Rafaela,0,1
37,Liga Profesional Argentina 2017,Jornada 3,18 Sep 16,Temperley,1 - 1,Arsenal de Sarandí,1,1
38,Liga Profesional Argentina 2017,Jornada 3,18 Sep 16,Atl.Tucumán,0 - 2,Estudiantes La Plata,0,2
39,Liga Profesional Argentina 2017,Jornada 3,18 Sep 16,Sarmiento,1 - 1,Newell's Old Boys,1,1
40,Liga Profesional Argentina 2017,Jornada 3,20 Sep 16,Tigre,1 - 1,CA Huracán,1,1
41,Liga Profesional Argentina 2017,Jornada 3,17 Sep 16,Quilmes,1 - 1,Independiente,1,1
42,Liga Profesional Argentina 2017,Jornada 3,18 Sep 16,Godoy Cruz,1 - 1,Boca Juniors,1,1
43,Liga Profesional Argentina 2017,Jornada 3,18 Sep 16,Belgrano,0 - 0,Olimpo,0,0
44,Liga Profesional Argentina 2017,Jornada 3,17 Sep 16,Lanús,0 - 1,Unión Santa Fe,0,1
45,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,Lanús,0 - 0,Aldosivi,0,0
46,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,Unión Santa Fe,0 - 2,Belgrano,0,2
47,Liga Profesional Argentina 2017,Jornada 4,24 Sep 16,Olimpo,3 - 0,Godoy Cruz,3,0
48,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,Boca Juniors,4 - 1,Quilmes,4,1
49,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,Independiente,1 - 1,Tigre,1,1
50,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,CA Huracán,0 - 0,Sarmiento,0,0
51,Liga Profesional Argentina 2017,Jornada 4,24 Sep 16,Newell's Old Boys,3 - 1,Atl.Tucumán,3,1
52,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,Estudiantes La Plata,3 - 0,Temperley,3,0
53,Liga Profesional Argentina 2017,Jornada 4,27 Sep 16,Arsenal de Sarandí,2 - 2,Gimnasia La Plata,2,2
54,Liga Profesional Argentina 2017,Jornada 4,24 Sep 16,Atletico Rafaela,0 - 0,Rosario Central,0,0
55,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,Patronato,1 - 1,San Lorenzo,1,1
56,Liga Profesional Argentina 2017,Jornada 4,24 Sep 16,Vélez Sarsfield,0 - 3,Racing Club,0,3
57,Liga Profesional Argentina 2017,Jornada 4,26 Sep 16,Defensa y Justicia,3 - 3,River Plate,3,3
58,Liga Profesional Argentina 2017,Jornada 4,27 Sep 16,San Martín San Juan,0 - 0,Colón,0,0
59,Liga Profesional Argentina 2017,Jornada 4,25 Sep 16,Talleres Córdoba,0 - 0,Banfield,0,0
60,Liga Profesional Argentina 2017,Jornada 5,01 Oct 16,Aldosivi,2 - 1,Talleres Córdoba,2,1
61,Liga Profesional Argentina 2017,Jornada 5,02 Oct 16,Banfield,3 - 2,San Martín San Juan,3,2
62,Liga Profesional Argentina 2017,Jornada 5,02 Oct 16,Colón,1 - 0,Defensa y Justicia,1,0
63,Liga Profesional Argentina 2017,Jornada 5,02 Oct 16,River Plate,3 - 0,Vélez Sarsfield,3,0
64,Liga Profesional Argentina 2017,Jornada 5,01 Oct 16,Racing Club,2 - 0,Patronato,2,0
65,Liga Profesional Argentina 2017,Jornada 5,02 Oct 16,San Lorenzo,2 - 1,Atletico Rafaela,2,1
66,Liga Profesional Argentina 2017,Jornada 5,01 Oct 16,Rosario Central,5 - 0,Arsenal de Sarandí,5,0
67,Liga Profesional Argentina 2017,Jornada 5,02 Oct 16,Gimnasia La Plata,0 - 0,Estudiantes La Plata,0,0
68,Liga Profesional Argentina 2017,Jornada 5,01 Oct 16,Temperley,0 - 0,Newell's Old Boys,0,0
69,Liga Profesional Argentina 2017,Jornada 5,04 Oct 16,Atl.Tucumán,0 - 2,CA Huracán,0,2
70,Liga Profesional Argentina 2017,Jornada 5,02 Oct 16,Sarmiento,0 - 1,Independiente,0,1
71,Liga Profesional Argentina 2017,Jornada 5,03 Oct 16,Tigre,1 - 1,Boca Juniors,1,1
72,Liga Profesional Argentina 2017,Jornada 5,01 Oct 16,Quilmes,2 - 1,Olimpo,2,1
73,Liga Profesional Argentina 2017,Jornada 5,01 Oct 16,Godoy Cruz,2 - 1,Unión Santa Fe,2,1
74,Liga Profesional Argentina 2017,Jornada 5,02 Oct 16,Belgrano,1 - 1,Lanús,1,1
75,Liga Profesional Argentina 2017,Jornada 6,15 Oct 16,Belgrano,0 - 0,Aldosivi,0,0
76,Liga Profesional Argentina 2017,Jornada 6,16 Oct 16,Lanús,3 - 0,Godoy Cruz,3,0
77,Liga Profesional Argentina 2017,Jornada 6,18 Oct 16,Unión Santa Fe,1 - 1,Quilmes,1,1
78,Liga Profesional Argentina 2017,Jornada 6,16 Oct 16,Olimpo,1 - 4,Tigre,1,4
79,Liga Profesional Argentina 2017,Jornada 6,16 Oct 16,Boca Juniors,2 - 0,Sarmiento,2,0
80,Liga Profesional Argentina 2017,Jornada 6,16 Oct 16,Independiente,0 - 2,Atl.Tucumán,0,2
81,Liga Profesional Argentina 2017,Jornada 6,15 Oct 16,CA Huracán,1 - 2,Temperley,1,2
82,Liga Profesional Argentina 2017,Jornada 6,16 Oct 16,Newell's Old Boys,1 - 0,Gimnasia La Plata,1,0
83,Liga Profesional Argentina 2017,Jornada 6,15 Oct 16,Estudiantes La Plata,3 - 2,Rosario Central,3,2
